"lon","lat","cell_ID","MeanPrecip","DryPrecip","WetPrecip","SeasonalPrecip","Elevation","NDVI","MeanTemp","MaxTemp","MinTemp","DiurnalTemp","Forested land","Shrubland","Grassland","Waterbodies","Wetlands","Barren Land","Cultivated","Built-up","Mines & Quarries"
25.375,-32.375,718,459,55,182,47.9252471923828,1350,0.46900001168251,14.0041666030884,27,0.600000023841858,14.9083337783813,0.0529261007068305,0.0970292063020214,0.826553520114943,0.000787030155899062,0.00384483584357247,0.00499467399920729,0.0127596941471793,0.00108790791385916,1.70308164883076e-05
26.875,-32.375,724,648,59,265,54.3246231079102,1385,0.65420001745224,13.8291664123535,25.2000007629395,1.5,13.8583335876465,0.0516441447020742,0.00294891167921786,0.841429680274805,0.00550611457920465,0.00404610912934337,0.00547205294622803,0.0485429878451579,0.0399104282269785,0.000499570616990355
27.125,-32.375,725,654,53,271,56.5281448364258,1194,0.437299996614456,15.1833333969116,26,3.40000009536743,13.533332824707,0.062613103944074,8.77975821578786e-06,0.857703876314898,0.00167641736284985,0.0139773750795343,0.00267369460489022,0.0515387300957717,0.00972074171397407,8.72811257922441e-05
18.375,-32.125,758,246,18,120,67.7945175170898,102,0.377400010824203,18.0500011444092,30.6000003814697,7.09999990463257,14.3333339691162,0.00116604074223682,0.488861054951451,0.0157486724331078,0.0189629156309491,0.0154464786281826,0.0717583100752636,0.37925220769363,0.00649869303723089,0.00230562680794821
18.625,-32.125,759,261,21,124,63.9494857788086,294,0.390199989080429,18.0249996185303,31.7999992370605,6.30000019073486,15.0333337783813,0.00609236433661812,0.476204479758704,0.0278275511517246,0.000847080518130056,0.00379403177766488,0.0142225800966571,0.46855543054069,0.00226422193406209,0.00019225988575008
18.875,-32.125,760,241,18,116,66.2013778686523,155,0.295199990272522,19.404167175293,34.0999984741211,6.40000009536743,15.4916667938232,0.0113708198021766,0.619623689233744,0.0435739400249552,0.00305019129543783,0.00209216473718568,0.0136091416908368,0.304557417552906,0.00200591652412471,0.000116719138633415
19.125,-32.125,761,256,22,122,63.2750053405762,495,0.313400000333786,17.8791675567627,31.8999996185303,5.40000009536743,14.125,0.00428708535563686,0.68211223325879,0.0594563696682122,0.00235983504928727,0.000869820934724151,0.0147988429262575,0.235136941238247,0.000978871568845836,0
19.375,-32.125,762,238,23,111,60.2597999572754,504,0.380699992179871,17.8666667938232,32.2000007629395,5,14.5500001907349,0.00350932100448697,0.852252162919259,0.103332073179801,0.00176628077047026,0.000539696902088136,0.0101034358809093,0.0281143351760496,0.000382694166935224,0
19.875,-32.125,764,174,21,73,49.1725120544434,478,0.0882000029087067,19,34.9000015258789,4.19999980926514,16.8333339691162,0.0048882595007313,0.5717409537503,0.0217949750861449,0.000107422924051993,0.0010649330259385,0.367234562086318,0.031032313641885,0.00204516720791294,9.14127767173207e-05
20.125,-32.125,765,227,39,76,29.1558151245117,1198,0.271899998188019,14.8291664123535,29.3999996185303,1.5,15.0083332061768,0.0470359675866371,0.783644575557877,0.0744779653115618,0.00181561553397858,0.000630012905186417,0.0371407854023064,0.0544178169096704,0.000718907260963336,0.00011835353181927
21.125,-32.125,769,208,37,78,33.4897422790527,1305,0.161400005221367,14.1208333969116,29.7999992370605,-1.29999995231628,16.341667175293,0.00165436530722044,0.322336102323605,0.00222856082622135,3.82452460900696e-05,0.000473414127277078,0.669721290353257,0.00174532697359683,0.00153032667125265,0.00027236817147928
21.375,-32.125,770,232,36,90,38.6867561340332,1475,0.333299994468689,13.3666667938232,28.3999996185303,-1.39999997615814,15.533332824707,0.00084905426510325,0.520124238743317,0.00145950568928332,0.00020968128444764,0.000462228447242949,0.472148024657693,0.00248105638050852,0.00203173934240644,0.000234471189998099
