cell_id,lon_centroid,lat_centroid
1398,25.375,-29.875
1399,25.625,-29.875
1400,25.875,-29.875
1401,26.125,-29.875
1402,26.375,-29.875
1403,26.625,-29.875
1404,26.875,-29.875
1405,27.125,-29.875
1414,29.375,-29.875
1415,29.625,-29.875
1416,29.875,-29.875
1417,30.125,-29.875
1418,30.375,-29.875
1419,30.625,-29.875
1420,30.875,-29.875
1433,17.125,-29.625
1434,17.375,-29.625
1435,17.625,-29.625
1436,17.875,-29.625
1437,18.125,-29.625
1438,18.375,-29.625
1439,18.625,-29.625
1440,18.875,-29.625
1441,19.125,-29.625
1442,19.375,-29.625
1443,19.625,-29.625
1444,19.875,-29.625
1445,20.125,-29.625
1446,20.375,-29.625
1447,20.625,-29.625
1448,20.875,-29.625
1449,21.125,-29.625
1450,21.375,-29.625
1451,21.625,-29.625
1452,21.875,-29.625
1453,22.125,-29.625
1454,22.375,-29.625
1455,22.625,-29.625
1456,22.875,-29.625
1457,23.125,-29.625
1458,23.375,-29.625
1459,23.625,-29.625
1460,23.875,-29.625
1461,24.125,-29.625
1462,24.375,-29.625
1463,24.625,-29.625
1464,24.875,-29.625
1465,25.125,-29.625
1466,25.375,-29.625
1467,25.625,-29.625
1468,25.875,-29.625
1469,26.125,-29.625
1470,26.375,-29.625
1471,26.625,-29.625
1472,26.875,-29.625
1482,29.375,-29.625
1483,29.625,-29.625
1484,29.875,-29.625
1485,30.125,-29.625
1486,30.375,-29.625
1487,30.625,-29.625
1488,30.875,-29.625
1489,31.125,-29.625
1501,17.125,-29.375
1502,17.375,-29.375
1503,17.625,-29.375
1504,17.875,-29.375
1505,18.125,-29.375
1506,18.375,-29.375
1507,18.625,-29.375
1508,18.875,-29.375
1509,19.125,-29.375
1510,19.375,-29.375
1511,19.625,-29.375
1512,19.875,-29.375
1513,20.125,-29.375
1514,20.375,-29.375
1515,20.625,-29.375
1516,20.875,-29.375
1517,21.125,-29.375
1518,21.375,-29.375
1519,21.625,-29.375
1520,21.875,-29.375
1521,22.125,-29.375
1522,22.375,-29.375
1523,22.625,-29.375
1524,22.875,-29.375
1525,23.125,-29.375
1526,23.375,-29.375
1527,23.625,-29.375
1528,23.875,-29.375
1529,24.125,-29.375
1530,24.375,-29.375
1531,24.625,-29.375
1532,24.875,-29.375
1533,25.125,-29.375
1534,25.375,-29.375
1535,25.625,-29.375
1536,25.875,-29.375
1537,26.125,-29.375
1538,26.375,-29.375
1539,26.625,-29.375
1540,26.875,-29.375
1541,27.125,-29.375
1542,27.375,-29.375
1551,29.625,-29.375
1552,29.875,-29.375
1553,30.125,-29.375
1554,30.375,-29.375
1555,30.625,-29.375
1556,30.875,-29.375
1557,31.125,-29.375
1568,16.875,-29.125
1569,17.125,-29.125
1570,17.375,-29.125
1571,17.625,-29.125
1572,17.875,-29.125
1573,18.125,-29.125
1574,18.375,-29.125
1575,18.625,-29.125
1576,18.875,-29.125
1577,19.125,-29.125
1578,19.375,-29.125
1579,19.625,-29.125
1580,19.875,-29.125
1581,20.125,-29.125
1582,20.375,-29.125
1583,20.625,-29.125
1584,20.875,-29.125
1585,21.125,-29.125
1586,21.375,-29.125
1587,21.625,-29.125
1588,21.875,-29.125
1589,22.125,-29.125
1590,22.375,-29.125
1591,22.625,-29.125
1592,22.875,-29.125
1593,23.125,-29.125
1594,23.375,-29.125
1595,23.625,-29.125
1596,23.875,-29.125
1597,24.125,-29.125
1598,24.375,-29.125
1599,24.625,-29.125
1600,24.875,-29.125
1601,25.125,-29.125
1602,25.375,-29.125
1603,25.625,-29.125
1604,25.875,-29.125
1605,26.125,-29.125
1606,26.375,-29.125
1607,26.625,-29.125
1608,26.875,-29.125
1609,27.125,-29.125
1610,27.375,-29.125
1611,27.625,-29.125
1618,29.375,-29.125
1619,29.625,-29.125
1620,29.875,-29.125
1621,30.125,-29.125
1622,30.375,-29.125
1623,30.625,-29.125
1624,30.875,-29.125
1625,31.125,-29.125
1626,31.375,-29.125
1635,16.625,-28.875
1636,16.875,-28.875
1637,17.125,-28.875
1638,17.375,-28.875
1639,17.625,-28.875
1640,17.875,-28.875
1643,18.625,-28.875
1644,18.875,-28.875
1646,19.375,-28.875
1647,19.625,-28.875
1648,19.875,-28.875
1649,20.125,-28.875
1650,20.375,-28.875
1651,20.625,-28.875
1652,20.875,-28.875
1653,21.125,-28.875
1654,21.375,-28.875
1655,21.625,-28.875
1656,21.875,-28.875
1657,22.125,-28.875
1658,22.375,-28.875
1659,22.625,-28.875
1660,22.875,-28.875
1661,23.125,-28.875
1662,23.375,-28.875
1663,23.625,-28.875
1664,23.875,-28.875
1665,24.125,-28.875
1666,24.375,-28.875
1667,24.625,-28.875
1668,24.875,-28.875
1669,25.125,-28.875
1670,25.375,-28.875
1671,25.625,-28.875
1672,25.875,-28.875
1673,26.125,-28.875
1674,26.375,-28.875
1675,26.625,-28.875
1676,26.875,-28.875
1677,27.125,-28.875
1678,27.375,-28.875
1679,27.625,-28.875
1680,27.875,-28.875
1685,29.125,-28.875
1686,29.375,-28.875
1687,29.625,-28.875
1688,29.875,-28.875
1689,30.125,-28.875
1690,30.375,-28.875
1691,30.625,-28.875
1692,30.875,-28.875
1693,31.125,-28.875
1694,31.375,-28.875
1695,31.625,-28.875
1696,31.875,-28.875
1703,16.625,-28.625
1704,16.875,-28.625
1705,17.125,-28.625
1706,17.375,-28.625
1715,19.625,-28.625
1716,19.875,-28.625
1717,20.125,-28.625
1718,20.375,-28.625
1719,20.625,-28.625
1720,20.875,-28.625
1721,21.125,-28.625
1722,21.375,-28.625
1723,21.625,-28.625
1724,21.875,-28.625
1725,22.125,-28.625
1726,22.375,-28.625
1727,22.625,-28.625
1728,22.875,-28.625
1729,23.125,-28.625
1730,23.375,-28.625
1731,23.625,-28.625
1732,23.875,-28.625
1733,24.125,-28.625
1734,24.375,-28.625
1735,24.625,-28.625
1736,24.875,-28.625
1737,25.125,-28.625
1738,25.375,-28.625
1739,25.625,-28.625
1740,25.875,-28.625
1741,26.125,-28.625
1742,26.375,-28.625
1743,26.625,-28.625
1744,26.875,-28.625
1745,27.125,-28.625
1746,27.375,-28.625
1747,27.625,-28.625
1748,27.875,-28.625
1749,28.125,-28.625
1750,28.375,-28.625
1752,28.875,-28.625
1753,29.125,-28.625
1754,29.375,-28.625
1755,29.625,-28.625
1756,29.875,-28.625
1757,30.125,-28.625
1758,30.375,-28.625
1759,30.625,-28.625
1760,30.875,-28.625
1761,31.125,-28.625
1762,31.375,-28.625
1763,31.625,-28.625
1764,31.875,-28.625
1765,32.125,-28.625
1772,16.875,-28.375
1773,17.125,-28.375
1774,17.375,-28.375
1785,20.125,-28.375
1786,20.375,-28.375
1787,20.625,-28.375
1788,20.875,-28.375
1789,21.125,-28.375
1790,21.375,-28.375
1791,21.625,-28.375
1792,21.875,-28.375
1793,22.125,-28.375
1794,22.375,-28.375
1795,22.625,-28.375
1796,22.875,-28.375
1797,23.125,-28.375
1798,23.375,-28.375
1799,23.625,-28.375
1800,23.875,-28.375
1801,24.125,-28.375
1802,24.375,-28.375
1803,24.625,-28.375
1804,24.875,-28.375
1805,25.125,-28.375
1806,25.375,-28.375
1807,25.625,-28.375
1808,25.875,-28.375
1809,26.125,-28.375
1810,26.375,-28.375
1811,26.625,-28.375
1812,26.875,-28.375
