cell_id,B_arietans,B_albanica,B_atropos,B_armata,B_caudalis,B_cornuta,B_inornata,B_gabonica,B_rubida,B_schneideri,B_xeropaga,C_defillippi
434,4,0,0,0,0,0,0,0,0,0,0,0
435,2,0,0,0,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,1,0,0,0
447,4,0,0,0,0,0,0,0,0,0,0,0
448,12,0,0,0,0,0,0,0,0,0,0,0
449,9,0,0,0,0,0,0,0,0,0,0,0
450,11,0,0,0,0,0,0,0,0,0,0,0
451,25,0,0,0,0,0,0,0,0,0,0,0
452,1,0,0,0,0,0,0,0,0,0,0,0
485,94,0,0,0,0,0,0,0,0,0,0,0
489,0,0,1,0,0,0,0,0,4,0,0,0
490,0,0,0,0,0,0,0,0,4,0,0,0
492,3,0,0,0,1,0,0,0,0,0,0,0
493,0,0,0,0,0,0,0,0,1,0,0,0
494,1,0,0,0,0,0,0,0,0,0,0,0
495,2,0,0,0,3,0,0,0,1,0,0,0
496,1,0,0,0,0,0,0,0,0,0,0,0
499,1,0,0,0,4,0,0,0,0,0,0,0
500,5,0,0,0,14,0,0,0,0,0,0,0
501,2,0,0,0,3,0,0,0,0,0,0,0
502,0,0,0,0,1,0,0,0,0,0,0,0
506,2,0,0,0,0,0,0,0,0,0,0,0
510,0,0,0,0,1,0,0,0,0,0,0,0
513,1,0,0,0,0,0,0,0,0,0,0,0
518,1,0,0,0,0,0,0,0,0,0,0,0
519,3,0,0,0,0,0,0,0,0,0,0,0
520,1,0,0,0,0,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0,0,1
553,1,0,0,0,0,0,0,0,0,0,0,0
555,1,0,0,0,0,0,0,0,0,0,0,0
557,5,0,1,0,0,0,0,0,11,0,0,0
558,0,0,0,0,0,0,0,0,2,0,0,0
559,0,0,0,0,1,0,0,0,4,0,0,0
561,0,0,0,0,0,0,0,0,1,0,0,0
562,1,0,0,0,0,0,0,0,2,0,0,0
563,5,0,0,0,0,0,0,0,1,0,0,0
567,0,0,0,0,2,0,0,0,0,0,0,0
568,0,0,0,0,1,0,0,0,0,0,0,0
569,0,0,0,0,1,0,0,0,0,0,0,0
570,1,0,0,0,0,0,0,0,0,0,0,0
585,1,0,0,0,0,0,0,0,0,0,0,0
590,2,0,0,0,0,0,0,0,0,0,0,0
592,1,0,0,0,0,0,0,0,0,0,0,0
622,3,0,0,0,0,0,0,0,0,0,0,0
623,2,0,0,0,0,0,0,0,0,0,0,0
624,3,0,0,0,0,0,0,0,0,0,0,0
625,2,0,1,0,0,0,0,0,6,0,0,0
626,2,0,0,0,0,0,0,0,6,0,0,0
627,1,0,0,0,2,0,0,0,3,0,0,0
630,1,0,0,0,0,0,0,0,0,0,0,0
631,0,0,0,0,0,0,0,0,1,0,0,0
632,0,0,0,0,0,0,0,0,1,0,0,0
634,0,0,0,0,1,0,0,0,0,0,0,0
637,0,0,0,0,1,0,0,0,0,0,0,0
643,1,0,0,0,0,0,0,0,0,0,0,0
648,1,0,0,0,2,0,0,0,0,0,0,0
