"lon","lat","cell_ID","MeanPrecip","DryPrecip","WetPrecip","SeasonalPrecip","Elevation","NDVI","MeanTemp","MaxTemp","MinTemp","DiurnalTemp","biome","bioregion","veg_type"
20.125,-33.625,357,362,63,124,28.9201850891113,1311,0.419600009918213,13.1791667938232,26,1.70000004768372,12.9750003814697,"Fynbos","Southern Fynbos Bioregion","North Langeberg Sandstone Fynbos"
20.375,-33.625,358,287,50,94,26.4815673828125,715,0.284299999475479,16.6749992370605,30.5,3.70000004768372,14.2666664123535,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
20.625,-33.625,359,274,52,84,20.2281379699707,561,0.205099999904633,18.0499992370605,32,4.59999990463257,14.6166667938232,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
20.875,-33.625,360,288,57,82,17.8885440826416,378,0.270300000905991,18.6708335876465,32,5.5,14.1583337783813,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
21.125,-33.625,361,314,66,88,19.3404178619385,338,0.216600000858307,18.3250007629395,31.3999996185303,5.19999980926514,14.1166667938232,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Western Little Karoo"
21.375,-33.625,362,361,77,104,15.6684837341309,1085,0.378500014543533,14.7958335876465,26.7999992370605,3,12.9583330154419,"Fynbos","Western Fynbos-Renosterveld Bioregion","North Rooiberg Sandstone Fynbos"
21.625,-33.625,363,303,65,87,18.6716136932373,372,0.451900005340576,17.4249992370605,29.7000007629395,5.19999980926514,13.5333337783813,"Albany Thicket","Albany Thicket","Oudtshoorn Karroid Thicket"
21.875,-33.625,364,286,63,82,15.8149166107178,219,0.379000008106232,18.2041664123535,30.8999996185303,5.59999990463257,13.9916667938232,"Azonal Vegetation","Inland Saline Vegetation","Muscadel Riviere"
22.125,-33.625,365,309,70,89,12.9621696472168,288,0.49219998717308,17.845832824707,31,4.80000019073486,14.3083333969116,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Eastern Little Karoo"
22.375,-33.625,366,360,79,100,13.1932220458984,373,0.451900005340576,17.3833332061768,29.8999996185303,5,13.466667175293,"Succulent Karoo","Rainshadow Valley Karoo Bioregion","Eastern Little Karoo"
22.625,-33.625,367,440,84,132,18.9539108276367,1151,0.469599992036819,13.6791667938232,24.8999996185303,3,11.908332824707,"Fynbos","Western Fynbos-Renosterveld Bioregion","South Kammanassie Sandstone Fynbos"
22.875,-33.625,368,485,87,149,22.1161613464355,1293,0.519400000572205,12.2375001907349,23.2999992370605,1.70000004768372,11.5916662216187,"Fynbos","Western Fynbos-Renosterveld Bioregion","South Kammanassie Sandstone Fynbos"
23.125,-33.625,369,480,91,140,17.8626461029053,831,0.372099995613098,15.0708332061768,27.3999996185303,3.5,12.7583332061768,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Uniondale Shale Renosterveld"
23.375,-33.625,370,498,89,156,22.9555702209473,1303,0.479299992322922,13.1125001907349,24.5,2.09999990463257,11.908332824707,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Kouga Sandstone Fynbos"
23.625,-33.625,371,513,91,159,22.8181476593018,1215,0.639999985694885,13.2791662216187,23.8999996185303,2.79999995231628,10.9916658401489,"Fynbos","Eastern Fynbos-Renosterveld Bioregion","Kouga Sandstone Fynbos"
